,Fluor,Efficiency %,Slope,Y-Intercept,R^2
,Cy5,N/A,N/A,N/A,N/A
,FAM,N/A,N/A,N/A,N/A
,HEX,N/A,N/A,N/A,N/A
,ROX,N/A,N/A,N/A,N/A
